mode,	 qd,	reqsize,	 dev.num,	 bw
read, 	 1, 	 32768, 	 1, 	 342.708
read, 	 1, 	 32768, 	 2, 	 685.69
read, 	 1, 	 32768, 	 3, 	 1031.816
read, 	 1, 	 32768, 	 4, 	 1394.711
read, 	 1, 	 32768, 	 5, 	 1651.111
read, 	 1, 	 32768, 	 6, 	 2054.662
read, 	 1, 	 32768, 	 7, 	 2396.391
read, 	 1, 	 32768, 	 8, 	 2708.898
read, 	 1, 	 32768, 	 9, 	 2866.196
read, 	 1, 	 32768, 	 10, 	 3075.171
read, 	 1, 	 32768, 	 11, 	 3158.364
read, 	  2, 	 32768, 	 1, 	 362.383
read, 	  2, 	 32768, 	 2, 	 753.577
read, 	  2, 	 32768, 	 3, 	 1087.775
read, 	  2, 	 32768, 	 4, 	 1461.044
read, 	  2, 	 32768, 	 5, 	 1737.347
read, 	  2, 	 32768, 	 6, 	 2091.794
read, 	  2, 	 32768, 	 7, 	 2414.661
read, 	  2, 	 32768, 	 8, 	 2712.619
read, 	  2, 	 32768, 	 9, 	 3051.361
read, 	  2, 	 32768, 	 10, 	 3161.546
read, 	  2, 	 32768, 	 11, 	 3199.631
read, 	  4, 	 32768, 	 1, 	 379.687
read, 	  4, 	 32768, 	 2, 	 724.682
read, 	  4, 	 32768, 	 3, 	 1099.001
read, 	  4, 	 32768, 	 4, 	 1466.673
read, 	  4, 	 32768, 	 5, 	 1723.786
read, 	  4, 	 32768, 	 6, 	 2049.886
read, 	  4, 	 32768, 	 7, 	 2459.55
read, 	  4, 	 32768, 	 8, 	 2781.283
read, 	  4, 	 32768, 	 9, 	 3047.136
read, 	  4, 	 32768, 	 10, 	 3174.795
read, 	  4, 	 32768, 	 11, 	 3182.077
read, 	  8, 	 32768, 	 1, 	 377.176
read, 	  8, 	 32768, 	 2, 	 726.259
read, 	  8, 	 32768, 	 3, 	 1105.372
read, 	  8, 	 32768, 	 4, 	 1458.897
read, 	  8, 	 32768, 	 5, 	 1761.404
read, 	  8, 	 32768, 	 6, 	 2074.71
read, 	  8, 	 32768, 	 7, 	 2442.141
read, 	  8, 	 32768, 	 8, 	 2735.086
read, 	  8, 	 32768, 	 9, 	 3028.948
read, 	  8, 	 32768, 	 10, 	 3195.975
read, 	  8, 	 32768, 	 11, 	 3161.533
read, 	  16, 	 32768, 	 1, 	 344.906
read, 	  16, 	 32768, 	 2, 	 730.513
read, 	  16, 	 32768, 	 3, 	 1088.26
read, 	  16, 	 32768, 	 4, 	 1401.7
read, 	  16, 	 32768, 	 5, 	 1557.547
read, 	  16, 	 32768, 	 6, 	 1931.712
read, 	  16, 	 32768, 	 7, 	 2304.578
read, 	  16, 	 32768, 	 8, 	 2685.094
read, 	  16, 	 32768, 	 9, 	 3035.261
read, 	  16, 	 32768, 	 10, 	 3037.129
read, 	  16, 	 32768, 	 11, 	 3130.955
read, 	  32, 	 32768, 	 1, 	 312.634
read, 	  32, 	 32768, 	 2, 	 626.904
read, 	  32, 	 32768, 	 3, 	 986.885
read, 	  32, 	 32768, 	 4, 	 1327.829
read, 	  32, 	 32768, 	 5, 	 1518.157
read, 	  32, 	 32768, 	 6, 	 1826.094
read, 	  32, 	 32768, 	 7, 	 2233.417
read, 	  32, 	 32768, 	 8, 	 2681.242
read, 	  32, 	 32768, 	 9, 	 2691.924
read, 	  32, 	 32768, 	 10, 	 3004.12
read, 	  32, 	 32768, 	 11, 	 2989.433
